# From OzSTAR catalog 1/4/2021 using psrcat -all -c "NAME RAJD DECJD" 
----------------------------------------------------------------------------
#     NAME                     RAJD                  DECJD                  
                               (deg)                 (deg)                  
----------------------------------------------------------------------------
1                              0.00000             0 0.00000              0 
2                              0.00000             0 0.00000              0 
3                              0.00000             0 0.00000              0 
4                              0.00000             0 0.00000              0 
5                              0.00000             0 0.00000              0 

6                              0.00000             0 0.00000              0 
7                              0.00000             0 0.00000              0 
8                              0.00000             0 0.00000              0 
9                              0.00000             0 0.00000              0 
10                             0.00000             0 0.00000              0 

11                             0.00000             0 0.00000              0 
12                             0.00000             0 0.00000              0 
13                             0.00000             0 0.00000              0 
14                             0.00000             0 0.00000              0 
15                             0.00000             0 0.00000              0 

16                             0.00000             0 0.00000              0 
17                             0.00000             0 0.00000              0 
18                             0.00000             0 0.00000              0 
19                             0.00000             0 0.00000              0 
20                             0.00000             0 0.00000              0 

21                             0.00000             0 0.00000              0 
22                             0.00000             0 0.00000              0 
23                             0.00000             0 0.00000              0 
24                             0.00000             0 0.00000              0 
25                             0.00000             0 0.00000              0 

26                             0.00000             0 0.00000              0 
27                             0.00000             0 0.00000              0 
28                             0.00000             0 0.00000              0 
29                             0.00000             0 0.00000              0 
30                             0.00000             0 0.00000              0 

31                             0.00000             0 0.00000              0 
32                             0.00000             0 0.00000              0 
33                             0.00000             0 0.00000              0 
34                             0.00000             0 0.00000              0 
35                             0.00000             0 0.00000              0 

36                             0.00000             0 0.00000              0 
37                             0.00000             0 0.00000              0 
38                             0.00000             0 0.00000              0 
39                             0.00000             0 0.00000              0 
40                             0.00000             0 0.00000              0 

41                             0.00000             0 0.00000              0 
42                             0.00000             0 0.00000              0 
43                             0.00000             0 0.00000              0 
44                             0.00000             0 0.00000              0 
45                             0.00000             0 0.00000              0 

46                             0.00000             0 0.00000              0 
47                             0.00000             0 0.00000              0 
48                             0.00000             0 0.00000              0 
49                             0.00000             0 0.00000              0 
50                             0.00000             0 0.00000              0 

51                             0.00000             0 0.00000              0 
52                             0.00000             0 0.00000              0 
53                             0.00000             0 0.00000              0 
54                             0.00000             0 0.00000              0 
55                             0.00000             0 0.00000              0 

56                             0.00000             0 0.00000              0 
57                             0.00000             0 0.00000              0 
58    J0002+6216    cwp+17     0.74238             9 62.26928             3 
59    J0006+1834    cnt96      1.5200              9 18.5831             12 
60    J0007+7303    aaa+09c    1.7571              9 73.0521              3 

61    J0011+08      dsm+16     2.9                 5 8.17                14 
62    B0011+47      dth78      3.57396            17 47.77594             9 
63    J0015-5841    .          3.81542             0 -58.69717            0 
64    J0021-0909    clh+20     5.46445            13 -9.1663              4 
65    J0023+0923    hrm+11     5.82032559          4 9.38996257           9 

66    J0023-7203J   .          5.99753             0 -72.06633            0 
67    B0021-72C     mld+90     5.9598085           5 -72.07541802        12 
68    B0021-72D     mlr+91     6.0578372           3 -72.07884789         6 
69    B0021-72E     mlr+91     6.0462720           3 -72.08893033         6 
70    B0021-72F     mlr+91     6.0160645           5 -72.07856064         6 

71    B0021-72G     rlm+95     6.0331679           5 -72.07769528        14 
72    B0021-72H     mlr+91     6.0279300           9 -72.06855742        17 
73    B0021-72I     mlr+91     6.0330612           9 -72.07768931        20 
74    B0021-72J     mlr+91     5.99753071         13 -72.06633095         3 
75    B0021-72L     rlm+95     6.0157171          13 -72.0824786          6 

76    B0021-72M     mlr+91     5.9770413          13 -72.0918767          6 
77    B0021-72N     rlm+95     6.0382833           9 -72.07469186        20 
78    J0024-7204O   clf+00     6.0193798           7 -72.08159867        17 
79    J0024-7204P   clf+00     6.08               13 -72.069             18 
80    J0024-7204Q   clf+00     6.0687121           5 -72.07365678        17 

81    J0024-7204R   clf+00     6.031588            5 -72.0806611         14 
82    J0024-7204S   clf+00     6.0165808           5 -72.07843139        12 
83    J0024-7204T   clf+00     6.035621            3 -72.0774811          9 
84    J0024-7204U   clf+00     6.0409858           5 -72.06658006        12 
85    J0024-7204V   clf+00     6.02363             0 -72.08128            0 

86    J0024-7204W   clf+00     6.02515             3 -72.080239          14 
87    J0024-7204X   fre08      6.0932735           4 -72.02151150        20 
88    J0024-7204Y   frk+17     6.005854           17 -72.078283           6 
89    J0024-7204Z   frk+17     6.025171            9 -72.0837444         17 
90    J0024-7204aa  phl+16     6.02363             0 -72.08128            0 

91    J0024-7204ab  phl+16     6.034006            3 -72.0798894          6 
92    J0025+0502    .          6.32500             0 5.04722              0 
