#PSR	RA	DEC	IntTime	ExpPrecision
J0030+0451	7.61428258	4.8610309	495.46067415730334	0.541265522407866
J0101-6422	15.29631686167	-64.37504757222	495.46067415730334	2.025202155689115
J0125-2327	21.25441	-23.45227	495.46067415730334	0.1890475861796398
J0437-4715	69.315894532	-47.2523951167	495.46067415730334	0.08410101742592341
J0610-2100	92.5566339	-21.0077822	495.46067415730334	0.6138655459977657
J0613-0200	93.43323	-2.0131	495.46067415730334	0.20629907693367533
J0614-3329	93.5431158	-33.4983661	495.46067415730334	0.41331696598210216
J0636-3044	99.2875	-30.845	495.46067415730334	1.5902683646787776
J0711-6830	107.97594058	-68.51322193	495.46067415730334	0.4571645049819426
J0900-3144	135.1831402	-31.7419175	495.46067415730334	0.4240991477033744
J0931-1902	142.82969	-19.0486	495.46067415730334	0.9779893516743364
J0955-6150	148.83686	-61.83803	495.46067415730334	0.797514823603878
J1012-4235	153.05	-42.5982	495.46067415730334	0.5894259340962152
J1017-7156	154.46386835	-71.94490166	495.46067415730334	0.09344557491769268
J1022+1001	155.741742	10.0314566	495.46067415730334	0.44710113537542184
J1024-0719	156.1612	-7.32199	495.46067415730334	0.6275229761780439
J1036-8317	159.169	-83.2989	495.46067415730334	0.44206945057216146
J1045-4509	161.45912213	-45.16503952	495.46067415730334	0.5074813530145463
J1101-6424	165.404968	-64.4109256	495.46067415730334	1.615552435767431
J1103-5403	165.888725	-54.062013	495.46067415730334	0.5125130378178067
J1125-5825	171.4348558312	-58.421355589	495.46067415730334	0.37593873601502514
J1125-6014	171.480075	-60.2351689	495.46067415730334	0.10638419298321934
J1216-6410	184.030582	-64.169229	495.46067415730334	0.20989313750743274
J1231-1411	187.797138	-14.195453	495.46067415730334	2.2250265092760424
J1327-0755	201.98995	-7.924944	495.46067415730334	1.1194880814847281
J1421-4409	215.3373605	-44.1512564	495.46067415730334	0.8994136585827918
J1431-5740	217.7645644	-57.6699076	495.46067415730334	0.7783424757877374
J1435-6100	218.834459	-61.0160997	495.46067415730334	0.5671427585389194
J1446-4701	221.6488081767	-47.024101811	495.46067415730334	0.30765158511363433
J1455-3330	223.94987567	-33.51288498	495.46067415730334	0.9872268467173769
J1513-2550	228.3471691	-25.8420236	495.46067415730334	0.6354299094403102
J1514-4946	228.5796427	-49.7709795	495.46067415730334	0.737986681930522
J1525-5545	231.367225	-55.763845	495.46067415730334	1.2200240447676924
J1543-5149	235.93396	-51.831858	495.46067415730334	0.7562622139737449
J1545-4550	236.48310705	-45.8437599	495.46067415730334	0.23505156152373466
J1547-5709	236.85052	-57.1548805	495.46067415730334	1.152962140168457
J1600-3053	240.21627	-30.89704	495.46067415730334	0.09560201126194712
J1603-7202	240.89866466	-72.04241679	495.46067415730334	0.44781994749017334
J1614-2230	243.65211392	-22.5086863	495.46067415730334	0.18617233772063385
J1628-3205	247.02918	-32.09695	495.46067415730334	0.8251497370381374
J1629-6902	247.2865442	-69.045915	495.46067415730334	0.28752484590059285
J1643-1224	250.91	-12.4163	495.46067415730334	0.2199565071139535
J1652-4838	253.0	-48.6	495.46067415730334	1.3258243452602463
J1653-2054	253.37929	-20.91531	495.46067415730334	1.6321619756641998
J1658-5324	254.6639318925	-53.40194565	495.46067415730334	0.8704437043142199
J1705-1903	256.43271	-19.06148	495.46067415730334	0.1567010410158231
J1708-3506	257.0734259846	-35.106293383	495.46067415730334	1.6054865905100835
J1713+0747	258.45639	7.79375	495.46067415730334	0.056786157065367084
J1719-1438	259.7919706	-14.6335951	495.46067415730334	1.1365417461685008
J1721-2457	260.2729079	-24.951714	495.46067415730334	1.8932888885943664
J1730-2304	262.5902557	-23.075333	495.46067415730334	0.3500614998839718
J1731-1847	262.82337796	-18.7923888	495.46067415730334	0.7911404153176045
J1732-5049	263.19902804	-50.8167113	495.46067415730334	0.5383902739488601
J1737-0811	264.4463015	-8.1858019	495.46067415730334	1.3501534267489654
J1744-1134	266.123	-11.5819	495.46067415730334	0.09847725972095306
J1747-4036	266.95298707333	-40.61521469444	495.46067415730334	0.5132318499325582
J1751-2857	267.88622165	-28.9629222	495.46067415730334	1.012615070061724
J1756-2251	269.1943068	-22.866519	495.46067415730334	1.2896118384068407
J1757-5322	269.3131643	-53.3740078	495.46067415730334	0.6857467574729139
J1801-1417	270.46280555	-14.2929239	495.46067415730334	0.5376714618341086
J1802-2124	270.52222873	-21.4010166	495.46067415730334	0.3615624937199955
J1804-2717	271.08805453	-27.2920375	495.46067415730334	0.796721276515715
J1804-2858	271.00635	-28.97961	495.46067415730334	1.5316462694797779
J1811-2405	272.83272521	-24.088451	495.46067415730334	0.23217631306472872
J1825-0319	276.483138	-3.332658	495.46067415730334	1.4848328753210753
J1832-0836	278.11497675	-8.6152692	495.46067415730334	0.2616476097695395
J1843-1113	280.92192465	-11.22529683	495.46067415730334	0.24152087055649799
J1843-1448	280.7557292	-14.803503	495.46067415730334	1.5103723714606598
J1902-5105	285.51186844708	-51.09915834722	495.46067415730334	0.18832877406488832
J1903-7051	285.9116426204	-70.862065828	495.46067415730334	0.462196189785203
J1909-3744	287.447652429	-37.737328222	495.46067415730334	0.03737822996707706
J1911-1114	287.95534304	-11.2395781	495.46067415730334	1.204762563629962
J1918-0642	289.700136342	-6.70969457	495.46067415730334	0.2508654280482672
J1933-6211	293.3851112	-62.1963544	495.46067415730334	0.8424144005861659
J1946-5403	296.6	-54.0618	495.46067415730334	0.2673981066875513
J2010-1323	302.6913379	-13.3989119	495.46067415730334	0.2860872216710899
J2039-3616	309.8191	-36.27144	495.46067415730334	0.9278531931706238
J2124-3358	321.18272301	-33.97907469	495.46067415730334	0.4665090624737119
J2129-5721	322.34485547	-57.35394393	495.46067415730334	0.46507143824420893
J2145-0750	326.4602666	-7.8384548	495.46067415730334	0.35940605737574105
J2150-0326	327.61347	-3.44244	495.46067415730334	0.40684765694933883
J2222-0137	335.52487125	-1.62103456	495.46067415730334	0.4672278745884634
